emp_no,first_name,last_name,dept_name,title
10001,Georgi,Facello,Development,Senior Engineer
10004,Chirstian,Koblick,Production,Engineer
10004,Chirstian,Koblick,Production,Senior Engineer
10009,Sumant,Peac,Quality Management,Assistant Engineer
10009,Sumant,Peac,Quality Management,Engineer
10009,Sumant,Peac,Quality Management,Senior Engineer
10018,Kazuhide,Peha,Development,Engineer
10018,Kazuhide,Peha,Production,Engineer
10018,Kazuhide,Peha,Development,Senior Engineer
10018,Kazuhide,Peha,Production,Senior Engineer
10035,Alain,Chappelet,Production,Engineer
10035,Alain,Chappelet,Production,Senior Engineer
10053,Sanjiv,Zschoche,Sales,Senior Staff
10058,Berhard,McFarlin,Marketing,Senior Staff
10066,Kwee,Schusler,Development,Assistant Engineer
10066,Kwee,Schusler,Development,Engineer
10066,Kwee,Schusler,Development,Senior Engineer
10067,Claudi,Stavenow,Quality Management,Engineer
10067,Claudi,Stavenow,Quality Management,Senior Engineer
10070,Reuven,Garigliano,Research,Technique Leader
10070,Reuven,Garigliano,Development,Technique Leader
10072,Hironoby,Sidou,Development,Engineer
10072,Hironoby,Sidou,Development,Senior Engineer
10076,Erez,Ritzmann,Development,Senior Engineer
10088,Jungsoon,Syrzycki,Customer Service,Senior Staff
10088,Jungsoon,Syrzycki,Sales,Senior Staff
10088,Jungsoon,Syrzycki,Customer Service,Staff
10088,Jungsoon,Syrzycki,Sales,Staff
10100,Hironobu,Haraldson,Human Resources,Senior Staff
10100,Hironobu,Haraldson,Human Resources,Staff
10103,Akemi,Birch,Development,Engineer
10108,Lunjin,Giveon,Human Resources,Staff
10108,Lunjin,Giveon,Marketing,Staff
10116,Dayanand,Czap,Research,Senior Engineer
10116,Dayanand,Czap,Development,Senior Engineer
10126,Kayoko,Valtorta,Customer Service,Senior Staff
10126,Kayoko,Valtorta,Customer Service,Staff
10129,Armond,Peir,Development,Technique Leader
10130,Nishit,Casperson,Production,Senior Engineer
10134,Diederik,Siprelle,Development,Engineer
10134,Diederik,Siprelle,Production,Engineer
10134,Diederik,Siprelle,Development,Senior Engineer
10134,Diederik,Siprelle,Production,Senior Engineer
10138,Perry,Shimshoni,Quality Management,Engineer
10138,Perry,Shimshoni,Quality Management,Senior Engineer
10149,Xiadong,Perry,Sales,Staff
10150,Zhenbing,Perng,Development,Engineer
10150,Zhenbing,Perng,Development,Senior Engineer
10152,Jaques,Munro,Quality Management,Engineer
10153,Heekeun,Majewski,Development,Assistant Engineer
10157,Nigel,Aloisi,Development,Senior Engineer
10161,Hairong,Mellouli,Production,Engineer
10186,Shigehito,Kropatsch,Finance,Staff
10198,Pranav,Furedi,Development,Engineer
10198,Pranav,Furedi,Development,Senior Engineer
10215,Xiaobin,Duclos,Sales,Senior Staff
10217,Yongmin,Roison,Production,Technique Leader
10224,Leon,Trogemann,Production,Engineer
10224,Leon,Trogemann,Production,Senior Engineer
10229,Ulises,Takanami,Quality Management,Engineer
10233,Lein,Vendrig,Human Resources,Senior Staff
10233,Lein,Vendrig,Human Resources,Staff
10258,Basil,Ishibashi,Development,Assistant Engineer
10258,Basil,Ishibashi,Development,Engineer
10258,Basil,Ishibashi,Development,Senior Engineer
10272,Yishai,Cannane,Finance,Staff
10282,Hercules,Benzmuller,Production,Assistant Engineer
10282,Hercules,Benzmuller,Production,Engineer
10283,Kauko,Birjandi,Development,Engineer
10283,Kauko,Birjandi,Development,Senior Engineer
10286,Saddek,Gopalakrishnan,Customer Service,Staff
10302,Faiza,Baer,Sales,Senior Staff
10302,Faiza,Baer,Sales,Staff
10305,Hirochika,Piancastelli,Development,Engineer
10326,Masali,Czap,Research,Staff
10327,Roded,Facello,Research,Engineer
10327,Roded,Facello,Development,Engineer
10340,Djelloul,Laventhal,Marketing,Senior Staff
10340,Djelloul,Laventhal,Marketing,Staff
10347,Pradeep,Kaminger,Research,Staff
10355,Satyanarayana,Cochrane,Sales,Staff
10356,Vasilis,Standera,Research,Senior Staff
10363,Toshiki,Muniz,Quality Management,Assistant Engineer
10363,Toshiki,Muniz,Production,Assistant Engineer
10364,Nakhoon,Dengi,Production,Senior Engineer
10372,Anneli,Frijda,Production,Technique Leader
10387,Parto,Wrigley,Customer Service,Senior Staff
10387,Parto,Wrigley,Customer Service,Staff
10395,Takahiro,Deverell,Development,Engineer
10396,Sibyl,Rahier,Development,Senior Engineer
10402,Volkmar,Ebeling,Quality Management,Technique Leader
10404,Prodip,Rosti,Development,Engineer
10404,Prodip,Rosti,Development,Senior Engineer
10426,Arunas,Luce,Development,Technique Leader
10429,Martien,Improta,Development,Senior Engineer
10432,Hisao,Tiemann,Customer Service,Senior Staff
10432,Hisao,Tiemann,Customer Service,Staff
10442,Volkmar,Unno,Sales,Senior Staff
10442,Volkmar,Unno,Sales,Staff
10451,Bodh,Ranta,Production,Assistant Engineer
10451,Bodh,Ranta,Production,Engineer
10451,Bodh,Ranta,Production,Senior Engineer
10453,Tsvetan,Matzel,Customer Service,Senior Staff
10453,Tsvetan,Matzel,Customer Service,Staff
10463,Ung,Zaiane,Sales,Staff
10466,Jiakeng,Himler,Customer Service,Staff
10486,Amstein,Kossowski,Quality Management,Engineer
10486,Amstein,Kossowski,Quality Management,Senior Engineer
10494,Yakkov,Servieres,Production,Engineer
10494,Yakkov,Servieres,Production,Senior Engineer
10504,Xiong,Varker,Sales,Staff
10512,Udi,Gihr,Human Resources,Senior Staff
10512,Udi,Gihr,Human Resources,Staff
10519,Yonghoan,Alencar,Research,Senior Staff
10519,Yonghoan,Alencar,Development,Senior Staff
10519,Yonghoan,Alencar,Research,Staff
10519,Yonghoan,Alencar,Development,Staff
10522,Marke,Cesareni,Human Resources,Senior Staff
10522,Marke,Cesareni,Human Resources,Staff
10538,Przemyslawa,Falby,Development,Senior Engineer
10538,Przemyslawa,Falby,Production,Senior Engineer
10541,Godehard,Eiter,Sales,Staff
10548,Ramalingam,Gunderson,Sales,Senior Staff
10548,Ramalingam,Gunderson,Marketing,Senior Staff
10548,Ramalingam,Gunderson,Sales,Staff
10548,Ramalingam,Gunderson,Marketing,Staff
10564,Jianhao,Thisen,Production,Engineer
10564,Jianhao,Thisen,Production,Senior Engineer
10575,Theirry,Yeung,Production,Senior Engineer
10591,Hidde,Hettesheimer,Marketing,Staff
10608,Adhemar,Talmor,Production,Senior Engineer
10617,Hidekazu,Angel,Customer Service,Senior Staff
10623,Aleksander,Danlos,Research,Engineer
10623,Aleksander,Danlos,Development,Engineer
10623,Aleksander,Danlos,Research,Senior Engineer
10623,Aleksander,Danlos,Development,Senior Engineer
10628,Krisda,Krogh,Development,Assistant Engineer
10628,Krisda,Krogh,Development,Engineer
10628,Krisda,Krogh,Development,Senior Engineer
10629,Lalit,Francisci,Sales,Staff
10631,Inderjeet,Chaudhuri,Development,Engineer
10642,Hirochika,Narlikar,Development,Engineer
10653,Otmar,Feinberg,Development,Senior Engineer
10671,Parviz,Rebaine,Human Resources,Senior Staff
10671,Parviz,Rebaine,Human Resources,Staff
10672,Bluma,Zeilberger,Production,Senior Engineer
